"date","precip"
2000-06-01,178.1
2000-07-01,93.1
2000-08-01,3.6
2000-09-01,25.9
2000-10-01,122.5
2000-11-01,24.9
2000-12-01,9.2
2001-01-01,37.4
2001-02-01,98.8
2001-03-01,57.2
2001-04-01,36.1
2001-05-01,79.3
2001-06-01,109.6
2001-07-01,31.7
2001-08-01,48.4
2001-09-01,78.9
2001-10-01,26.9
2001-11-01,16.5
2001-12-01,2.1
2002-01-01,28.4
2002-02-01,20.8
2002-03-01,10.9
2002-04-01,67.5
2002-05-01,144.8
2002-06-01,136.5
2002-07-01,49.8
2002-08-01,124.4
2002-09-01,20.7
2002-10-01,210.6
2002-11-01,4.7
2002-12-01,31
2003-01-01,3
2003-02-01,49.3
2003-03-01,89.8
2003-04-01,103.2
2003-05-01,76.1
2003-06-01,103.6
2003-07-01,12
2003-08-01,173.1
2003-09-01,111.5
2003-10-01,81
2003-11-01,3.1
2003-12-01,22.6
2004-01-01,46.8
2004-02-01,33.2
2004-03-01,90.9
2004-04-01,86.7
2004-05-01,95.8
2004-06-01,204.2
2004-07-01,175
2004-08-01,55.2
2004-09-01,14
2004-10-01,86.6
2004-11-01,65
2004-12-01,7.6
2005-01-01,80.7
2005-02-01,46.5
2005-03-01,46.4
2005-04-01,26.1
2005-05-01,47.4
2005-06-01,185.5
2005-07-01,110.5
2005-08-01,303.9
2005-09-01,15.9
2005-10-01,54.9
2005-11-01,0.5
2005-12-01,15
2006-01-01,2.9
2006-02-01,0
2006-03-01,58.1
2006-04-01,50.6
2006-05-01,171.7
2006-06-01,160.7
2006-07-01,54.9
2006-08-01,150.5
2006-09-01,18.3
2006-10-01,24
2006-11-01,11.6
2006-12-01,42.9
2007-01-01,30.7
2007-02-01,11.9
2007-03-01,142.4
2007-04-01,68.6
2007-05-01,104.5
2007-06-01,216.7
2007-07-01,103
2007-08-01,91.7
2007-09-01,18.3
2007-10-01,107
2007-11-01,3.6
2007-12-01,66.6
2008-01-01,9
2008-02-01,40
2008-03-01,78.1
2008-04-01,46.3
2008-05-01,333.8
2008-06-01,188.6
2008-07-01,97.1
2008-08-01,76.4
2008-09-01,329.3
2008-10-01,102.4
2008-11-01,34.8
2008-12-01,32.1
2009-01-01,2.1
2009-02-01,15.2
2009-03-01,52.2
2009-04-01,252.5
2009-05-01,74.8
2009-06-01,114.7
2009-07-01,90.3
2009-08-01,100
2009-09-01,131.1
2009-10-01,97.3
2009-11-01,14.2
2009-12-01,10.1
2010-01-01,10.7
2010-02-01,28.2
2010-03-01,46.1
2010-04-01,26
2010-05-01,164.5
2010-06-01,135.5
2010-07-01,70.5
2010-08-01,108.2
2010-09-01,79
2010-10-01,12.7
2010-11-01,31.5
2010-12-01,3
2011-01-01,8.6
2011-02-01,31.7
2011-03-01,24.8
2011-04-01,37.3
2011-05-01,62.3
2011-06-01,120.1
2011-07-01,36.8
2011-08-01,87.9
2011-09-01,25
2011-10-01,46.2
